1000,7.2510,0,2999
1000,3.3291,0,2999
1000,1.4826,0,2999
1000,1.2111,0,2999
1000,1.7199,0,2999
10000,1.9649,0,29999
10000,1.5462,0,29999
10000,1.4269,0,29999
10000,1.4983,0,29999
10000,1.4694,0,29999
100000,2.2429,0,299999
100000,2.2575,0,299999
100000,2.2341,0,299999
100000,2.2187,0,299999
100000,2.4701,0,299999
500000,10.3406,0,1499999
500000,6.9695,0,1499999
500000,7.1164,0,1499999
500000,10.6156,0,1499999
500000,8.7155,0,1499999
1000000,20.6410,0,2999999
1000000,18.7389,0,2999999
1000000,16.0750,0,2999999
1000000,11.4071,0,2999999
1000000,16.5549,0,2999999
