1000,33.2992,9976,8704
1000,0.4754,9976,8695
1000,0.2695,9976,8727
1000,0.3898,9976,8714
1000,0.3062,9976,8674
10000,3.8442,133616,120427
10000,5.5341,133616,120364
10000,4.5784,133616,120490
10000,4.4205,133616,120436
10000,5.2974,133616,120471
100000,28.8117,1668928,1536459
100000,50.6245,1668928,1536167
100000,28.3970,1668928,1535996
100000,15.4146,1668928,1536319
100000,13.9106,1668928,1536583
500000,79.3116,9475712,8837222
500000,83.6662,9475712,8836679
500000,79.6949,9475712,8837108
500000,92.1883,9475712,8836562
500000,86.5056,9475712,8837567
1000000,185.5499,19951424,18673896
1000000,174.9055,19951424,18674794
1000000,164.4562,19951424,18673824
1000000,148.0774,19951424,18673542
1000000,159.4298,19951424,18675063
